F,I,I,Q,A
tensor(102),tensor(102.2287)
tensor(35),tensor(34.9474)
tensor(104),tensor(103.9655)
tensor(72),tensor(72.0749)
tensor(43),tensor(43.1318)
tensor(14),tensor(14.2054)
tensor(20),tensor(19.8105)
tensor(55),tensor(54.9535)
tensor(108),tensor(107.8881)
tensor(119),tensor(118.9958)
tensor(165),tensor(165.1633)
tensor(76),tensor(75.9960)
tensor(105),tensor(104.9991)
tensor(56),tensor(56.0019)
tensor(27),tensor(26.8044)
tensor(2),tensor(3.0000)
tensor(18),tensor(17.7564)
tensor(180),tensor(179.9997)
tensor(33),tensor(33.0152)
tensor(34),tensor(33.8749)
tensor(88),tensor(87.8941)
tensor(106),tensor(106.2519)
tensor(6),tensor(6.0083)
tensor(54),tensor(53.9888)
tensor(57),tensor(56.8065)
tensor(58),tensor(58.1165)
tensor(29),tensor(28.6501)
tensor(141),tensor(141.3078)
tensor(49),tensor(49.1972)
tensor(21),tensor(20.8514)
tensor(185),tensor(184.9989)
tensor(23),tensor(23.0034)
tensor(50),tensor(50.1863)
tensor(90),tensor(90.0603)
tensor(98),tensor(97.9309)
tensor(73),tensor(72.9968)
tensor(186),tensor(185.8354)
tensor(44),tensor(44.0178)
tensor(7),tensor(6.6781)
tensor(51),tensor(51.2175)
tensor(171),tensor(171.1646)
tensor(62),tensor(61.9452)
tensor(12),tensor(12.0481)
tensor(9),tensor(8.9685)
tensor(30),tensor(29.8535)
tensor(31),tensor(30.9456)
tensor(82),tensor(81.9943)
tensor(60),tensor(60.1563)
tensor(45),tensor(45.1344)
tensor(17),tensor(16.7501)
tensor(0),tensor(3.0000)
tensor(3),tensor(3.0021)
tensor(24),tensor(23.8921)
tensor(10),tensor(9.9542)
tensor(11),tensor(10.9386)
tensor(67),tensor(67.1057)
tensor(101),tensor(100.9699)
tensor(97),tensor(96.9080)
tensor(164),tensor(164.0005)
tensor(179),tensor(179.1267)
tensor(183),tensor(183.0970)
tensor(184),tensor(184.1945)
tensor(136),tensor(136.0670)
tensor(109),tensor(108.7926)
tensor(22),tensor(21.9470)
tensor(91),tensor(90.9703)
tensor(187),tensor(187.0025)
tensor(188),tensor(188.1105)
tensor(189),tensor(188.9694)
tensor(28),tensor(27.8636)
tensor(137),tensor(137.1889)
tensor(175),tensor(175.0860)
tensor(146),tensor(146.0217)
tensor(167),tensor(167.0867)
tensor(190),tensor(189.9987)
tensor(46),tensor(45.8187)
tensor(36),tensor(35.9997)
tensor(147),tensor(146.9634)
tensor(148),tensor(147.9275)
tensor(191),tensor(191.0950)
tensor(156),tensor(155.0000)
tensor(134),tensor(134.0125)
tensor(149),tensor(149.1110)
tensor(157),tensor(157.0210)
tensor(192),tensor(191.7194)
tensor(159),tensor(159.0786)
tensor(63),tensor(63.0366)
tensor(64),tensor(63.7005)
tensor(110),tensor(110.3455)
tensor(111),tensor(111.0632)
tensor(144),tensor(144.0078)
tensor(85),tensor(85.0802)
tensor(145),tensor(145.2314)
tensor(126),tensor(125.5274)
tensor(139),tensor(139.2057)
tensor(193),tensor(192.9737)
tensor(194),tensor(193.9544)
tensor(47),tensor(47.2362)
tensor(37),tensor(36.7072)
tensor(26),tensor(25.9280)
tensor(112),tensor(111.9585)
tensor(135),tensor(135.0517)
tensor(100),tensor(99.8408)
tensor(127),tensor(126.4990)
tensor(74),tensor(74.1158)
tensor(195),tensor(195.2300)
tensor(92),tensor(91.7020)
tensor(4),tensor(4.3134)
tensor(5),tensor(5.3873)
tensor(32),tensor(31.8451)
tensor(61),tensor(61.0842)
tensor(128),tensor(127.8719)
tensor(150),tensor(149.9448)
tensor(120),tensor(119.9535)
tensor(68),tensor(68.1103)
tensor(69),tensor(69.2539)
tensor(113),tensor(112.8333)
tensor(86),tensor(85.9889)
tensor(48),tensor(48.2226)
tensor(70),tensor(70.2630)
tensor(71),tensor(70.9062)
tensor(114),tensor(113.7164)
tensor(89),tensor(89.1119)
tensor(107),tensor(106.9793)
tensor(151),tensor(151.0668)
tensor(196),tensor(196.0152)
tensor(160),tensor(160.3036)
tensor(115),tensor(115.0159)
tensor(116),tensor(115.5999)
tensor(161),tensor(160.7542)
tensor(166),tensor(165.7102)
tensor(129),tensor(129.1086)
tensor(117),tensor(116.9031)
tensor(93),tensor(92.6422)
tensor(78),tensor(78.1139)
tensor(87),tensor(86.9970)
tensor(118),tensor(118.0335)
tensor(59),tensor(59.1488)
tensor(130),tensor(129.8277)
tensor(158),tensor(157.6893)
tensor(124),tensor(123.9197)
tensor(79),tensor(78.9327)
tensor(123),tensor(123.0408)
tensor(152),tensor(151.9703)
tensor(94),tensor(94.0838)
tensor(52),tensor(52.3291)
tensor(121),tensor(121.0278)
tensor(99),tensor(99.0370)
tensor(103),tensor(103.3251)
tensor(125),tensor(124.8643)
tensor(168),tensor(168.0761)
tensor(65),tensor(65.0203)
tensor(15),tensor(15.0081)
tensor(39),tensor(39.0132)
tensor(142),tensor(142.1931)
tensor(16),tensor(15.7937)
tensor(1),tensor(3.0001)
tensor(8),tensor(7.7605)
tensor(40),tensor(39.9483)
tensor(42),tensor(41.9185)
tensor(13),tensor(12.9987)
tensor(176),tensor(176.1413)
tensor(177),tensor(176.8569)
tensor(140),tensor(140.2676)
tensor(143),tensor(143.0638)
tensor(131),tensor(131.0451)
tensor(172),tensor(171.8503)
tensor(181),tensor(181.4060)
tensor(83),tensor(82.9636)
tensor(84),tensor(83.9208)
tensor(95),tensor(94.9151)
tensor(25),tensor(24.8045)
tensor(153),tensor(152.7837)
tensor(132),tensor(131.7746)
tensor(173),tensor(173.1460)
tensor(197),tensor(197.0722)
tensor(75),tensor(75.1778)
tensor(154),tensor(154.1708)
tensor(41),tensor(40.8763)
tensor(53),tensor(53.0793)
tensor(169),tensor(168.9718)
tensor(162),tensor(161.8895)
tensor(122),tensor(122.1363)
tensor(174),tensor(173.9506)
tensor(198),tensor(197.9998)
tensor(199),tensor(197.9999)
tensor(178),tensor(177.7920)
tensor(182),tensor(179.9956)
tensor(77),tensor(77.4217)
tensor(19),tensor(18.7441)
tensor(38),tensor(37.8973)
tensor(138),tensor(137.9713)
tensor(81),tensor(80.9673)
tensor(66),tensor(66.0919)
tensor(96),tensor(95.9347)
tensor(80),tensor(79.9837)
tensor(163),tensor(162.9072)
tensor(170),tensor(170.2190)
tensor(155),tensor(154.9699)
tensor(133),tensor(133.0810)
tensor(102),tensor(101.9644)
tensor(35),tensor(34.9700)
tensor(104),tensor(103.9162)
tensor(72),tensor(71.9455)
tensor(43),tensor(43.1118)
tensor(14),tensor(13.9826)
tensor(20),tensor(19.8705)
tensor(55),tensor(54.9781)
tensor(108),tensor(108.1070)
tensor(119),tensor(118.8923)
tensor(165),tensor(165.1424)
tensor(76),tensor(75.9946)
tensor(105),tensor(105.0572)
tensor(56),tensor(56.0882)
tensor(27),tensor(26.7199)
tensor(2),tensor(3.0000)
tensor(18),tensor(17.7940)
tensor(180),tensor(180.0000)
tensor(33),tensor(32.9983)
tensor(34),tensor(34.0380)
tensor(88),tensor(87.8106)
tensor(106),tensor(106.3432)
tensor(6),tensor(6.0414)
tensor(54),tensor(53.9805)
tensor(57),tensor(56.8196)
tensor(58),tensor(58.0407)
tensor(29),tensor(28.6061)
tensor(141),tensor(141.2044)
tensor(49),tensor(49.2604)
tensor(21),tensor(20.8121)
tensor(185),tensor(185.0003)
tensor(23),tensor(23.0043)
tensor(50),tensor(50.0236)
tensor(90),tensor(90.0884)
tensor(98),tensor(97.9318)
tensor(73),tensor(73.0093)
tensor(186),tensor(185.8759)
tensor(44),tensor(44.0319)
tensor(7),tensor(6.6947)
tensor(51),tensor(51.1192)
tensor(171),tensor(171.0620)
tensor(62),tensor(61.9224)
tensor(12),tensor(12.0961)
tensor(9),tensor(8.8040)
tensor(30),tensor(29.8859)
tensor(31),tensor(30.9933)
tensor(82),tensor(81.8853)
tensor(60),tensor(60.1203)
tensor(45),tensor(45.1686)
tensor(17),tensor(16.7383)
tensor(0),tensor(3.0000)
tensor(3),tensor(3.0147)
